name,,Code,latitude,longitude
Wolfe / Robin,,6173,45.51908844,-73.56950909
Berri / Cherrier,,6174,45.51908,-73.5727
Roy / St-Denis,,6175,45.52027785,-73.56821626
St-Christophe / Cherrier,,6176,45.52496324,-73.57555881
de Mentana / Rachel,,6177,45.52242565,-73.57418418
St-Hubert / Duluth,,6178,45.5222776,-73.5775906
Rivard / Rachel,,6179,45.52060423,-73.57598394
Duluth / St-Denis,,6180,45.50941837,-73.56135786
St-Dominique / René-Lévesque,,6181,45.5173538,-73.58212888
Clark / Rachel,,6182,45.52175121,-73.58526841
de Bullion / du Mont-Royal,,6183,45.52236458,-73.5841459
Laval / du Mont-Royal,,6184,45.524673,-73.58255
Métro Mont-Royal (Rivard / du Mont-Royal),,6185,45.54912086,-73.6008735
des Érables / Bélanger,,6186,45.52931012,-73.58865738
St-Hubert / Laurier,,6187,45.52562819,-73.58177483
Resther / du Mont-Royal,,6188,45.52602657,-73.57785881
de Mentana / Marie-Anne,,6189,45.55072306,-73.60957056
Chabot / Everett,,6190,45.52700933,-73.58576596
Pontiac / Gilford,,6191,45.531401,-73.612674
St-Zotique / Clark,,6192,45.5299696,-73.59190285
Berri / St-Grégoire,,6193,45.521495,-73.596758
de l'Esplanade / Fairmount,,6194,45.48947623,-73.58456567
Métro Atwater (Atwater / Ste-Catherine),,6195,45.52403655,-73.59014332
de Bullion / St-Joseph,,6196,45.52134173,-73.58941913
Villeneuve / St-Laurent,,6197,45.5389844,-73.58244538
de Bordeaux / Masson,,6198,45.52974,-73.59527
Hélène-Baillargeon / St-Denis,,6199,45.52593073,-73.59883904
St-Viateur / St-Laurent,,6200,45.52462849,-73.59581083
Maguire / St-Laurent,,6201,45.5235442,-73.58733237
Villeneuve / de l'Hôtel-de-Ville,,6202,45.51007155,-73.57075229
Ste-Famille / Sherbrooke,,6203,45.50658669,-73.57329905
Aylmer / Sherbrooke,,6204,45.50814096,-73.57492983
Milton / Durocher,,6205,45.50936143,-73.57386366
Milton / du Parc,,6206,45.51059,-73.57547
Prince-Arthur / du Parc,,6207,45.51283175,-73.57688785
Ste-Famille / des Pins,,6208,45.51069,-73.57805
Hutchison / des Pins,,6209,45.51254135,-73.57067719
Milton / Clark,,6210,45.55069207,-73.65636706
Métro Sauvé (Berri / Sauvé),,6211,45.51561624,-73.57580826
Roy / St-Laurent,,6212,45.51509198,-73.58114183
Duluth / de l'Esplanade,,6213,45.51687641,-73.57946008
Duluth / St-Laurent,,6214,45.5160908,-73.57012868
Square St-Louis (du Square St-Louis / Laval),,6215,45.50083232,-73.57245952
Metcalfe / St-Catherine,,6216,45.51483986,-73.5847789
Parc Jeanne Mance (monument sir George-Etienne Cartier),,6217,45.51896722,-73.58361617
Vallières / St-Laurent,,6218,45.5125874,-73.57373893
Prince-Arthur / St-Urbain,,6219,45.51740076,-73.57460529
de l'Hôtel-de-Ville / Roy,,6220,45.51921624,-73.57718021
Laval / Duluth,,6221,45.51941,-73.58685
du Mont-Royal / Clark,,6222,45.51825291,-73.5883382
de l'Esplanade / du Mont-Royal,,6223,45.517,-73.589
du Mont-Royal / du Parc,,6224,45.51829,-73.59235
Villeneuve / du Parc,,6225,45.520188,-73.590559
Villeneuve / St-Urbain,,6226,45.575707,-73.561562
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),,6227,45.52103886,-73.59490693
de l'Esplanade / Laurier,,6228,45.527363,-73.607723
Waverly / Van Horne,,6229,45.52116132,-73.58561575
Coloniale / du Mont-Royal,,6230,45.52385614,-73.6001265
Waverly / St-Viateur,,6231,45.52302648,-73.60184044
Jeanne-Mance / St-Viateur,,6232,45.52426581,-73.61127377
Durocher / Van Horne,,6233,45.52428648,-73.60497326
Bernard / Jeanne-Mance,,6234,45.52741036,-73.60393524
de l'Arcade / Clark,,6235,45.526557,-73.59827578
St-Dominique / St-Viateur,,6236,45.53764926,-73.57978463
Laurier / de Bordeaux,,6237,45.532008,-73.58044446
Gilford / de Lanaudière,,6240,45.50572093,-73.62945914
Parc Kent (de Kent / Hudson),,6241,45.51753999,-73.59783188
Querbes / Laurier,,6243,45.52068774,-73.6084279
Bloomfield / Bernard,,6245,45.5225858,-73.61265779
Bloomfield / Van Horne,,6246,45.52027054,-73.61484915
Métro Outremont (Wiseman / Van Horne),,6247,45.53226461,-73.61106321
St-Dominique / St-Zotique,,6248,45.518593,-73.581566
St-Dominique / Rachel,,6249,45.53696,-73.61199
Bélanger / St-Denis,,6250,45.53678525,-73.61488796
Marché Jean-Talon (Henri-Julien / Jean-Talon),,6251,45.53441493,-73.61231647
Dante / de Gaspé,,6252,45.53318,-73.61544
Mozart / St-Laurent,,6253,45.54013829,-73.61402839
Métro Jean-Talon (de Chateaubriand / Jean-Talon),,6254,45.54006,-73.60897
Boyer / Bélanger,,6255,45.53848,-73.60556
Boyer / St-Zotique,,6257,45.53626118,-73.6075455
de St-Vallier / St-Zotique,,6258,45.53708783,-73.59321848
Parc Père-Marquette (Chambord / Rosemont),,6259,45.540881,-73.584157
Dandurand / de Lorimier,,6260,45.53923559,-73.58594567
Cartier / Dandurand,,6261,45.54459856,-73.58822286
Louis-Hémon / Rosemont,,6262,45.53715923,-73.59747648
de la Roche /  de Bellechasse,,6263,45.47117931,-73.62700224
de Hampton / de Monkland,,6264,45.54256975,-73.59214425
Chabot / de Bellechasse,,6265,45.53925853,-73.57745916
Parthenais / Laurier,,6266,45.54666111,-73.5886842
Louis-Hébert / de Bellechasse,,6267,45.54437555,-73.59564453
Chabot / Beaubien,,6268,45.53993218,-73.5993433
Chambord / Beaubien,,6269,45.53762781,-73.55339438
Wurtele / de Rouen,,6270,45.54345173,-73.60101029
Fabre / St-Zotique,,6271,45.64000286,-73.49011302
St-Jean-Baptiste / Notre-Dame,,6272,45.54653901,-73.5986647
de Bordeaux / St-Zotique,,6273,45.54679741,-73.60266387
Cartier / Bélanger,,6274,45.531164,-73.583695
de la Roche / St-Joseph,,6275,45.54484558,-73.61053616
Chambord / Jean-Talon,,6276,45.5416696,-73.6076045
de la Roche / Bélanger,,6277,45.54818637,-73.59201014
Louis-Hébert / Beaubien,,6278,45.55001,-73.59576
Louis-Hébert / St-Zotique,,6279,45.55158519,-73.59916493
Louis-Hébert / Bélanger,,6280,45.5243748,-73.59181032
Casgrain / Laurier,,6281,45.52769781,-73.58625278
Resther / St-Joseph,,6301,45.51830945,-73.60328615
Parc Outremont (Bloomfield / Elmwood),,6302,45.5160787,-73.60779762
Stuart / St-Viateur,,6303,45.51414486,-73.62030208
Pratt / Van Horne,,6304,45.515617,-73.614991
Rockland / Lajoie,,6305,45.514379,-73.610871
Davaar / de la Côte-Ste-Catherine,,6306,45.510086,-73.611429
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),,6307,45.52017845,-73.57942387
Laval / Rachel,,6309,45.45688445,-73.57260704
4e avenue / de Verdun,,6310,45.50687645,-73.62359181
de Soissons / de Darlington,,6311,45.53488214,-73.60941231
Drolet / St-Zotique,,6312,45.50144933,-73.63305062
de Kent / de la Côte-des-Neiges,,6313,45.470303,-73.589848
Palm / St-Remi,,6314,45.52932643,-73.57480645
de Lanaudière / Marie-Anne,,6315,45.49626477,-73.62154394
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),,6316,45.49705494,-73.61865252
Swail / Decelles,,6321,45.53589983,-73.62244248
Gary-Carter / St-Laurent,,6322,45.53873795,-73.62802148
St-Dominique / Gounod,,6323,45.53966322,-73.63447487
Guizot / St-Laurent,,6324,45.54560355,-73.63474041
de Liège / Lajeunesse,,6327,45.5392698,-73.62087876
Drolet / Faillon,,6328,45.53893805,-73.62429321
De Gaspé / Villeray,,6329,45.54095134,-73.6263746
Drolet / Gounod,,6330,45.54078005,-73.6304006
de Gaspé / Jarry,,6331,45.54342355,-73.63246188
